player_id,name,span,bating_style,playing_role,country,matches,innings,runs,strike_rate,average_score,not_out,100s,50,4s,6s,years_played,batting_score,Runs_per_year,Runs_per_inning,Runs_by_6s,6s_runs_percentage,Runs_by_4s,4s_runs_percentage
380354,Anamul Haque,2012-2022,right-hand bat,wicketkeeper batter,Bangladesh,44,41.0,1254.0,74.15,30.58,0.0,3.0,5.0,122.0,27.0,10,43.301957414303445,125.4,30.585365853658537,162.0,12.918660287081341,488.0,38.91547049441787
536936,Litton Das,2015-2022,right-hand bat,wicketkeeper batter,Bangladesh,60,60.0,1912.0,87.58,34.76,5.0,5.0,7.0,207.0,29.0,7,49.76754618276933,273.14285714285717,31.866666666666667,174.0,9.100418410041842,828.0,43.30543933054393
56025,Mahmudullah,2007-2022,right-hand bat,allrounder,Bangladesh,215,187.0,4879.0,76.32,35.61,50.0,3.0,27.0,362.0,76.0,15,48.56169391584026,325.26666666666665,26.09090909090909,456.0,9.3461774953884,1448.0,29.67821274851404
629063,Mehidy Hasan Miraz,2017-2022,right-hand bat,allrounder,Bangladesh,67,42.0,756.0,78.91,22.9,9.0,1.0,2.0,66.0,15.0,5,35.49826146743934,151.2,18.0,90.0,11.904761904761903,264.0,34.92063492063492
373696,Mominul Haque,2012-2018,left-hand bat,middle-order batter,Bangladesh,28,26.0,557.0,74.36,22.28,1.0,0.0,3.0,60.0,1.0,6,34.28685430463576,92.83333333333333,21.423076923076923,6.0,1.0771992818671454,240.0,43.08797127468581
550133,Mosaddek Hossain,2016-2022,right-hand bat,middle-order batter,Bangladesh,43,35.0,634.0,82.76,25.36,10.0,0.0,3.0,58.0,13.0,6,38.823411024787276,105.66666666666667,18.114285714285714,78.0,12.302839116719243,232.0,36.59305993690852
56029,Mushfiqur Rahim,2006-2022,right-hand bat,wicketkeeper batter,Bangladesh,239,224.0,6811.0,78.77,36.42,37.0,8.0,42.0,535.0,85.0,16,49.8099383627051,425.6875,30.40625,510.0,7.487887241227425,2140.0,31.419762149464102
330902,Mustafizur Rahman,2015-2022,left-hand bat,bowler,Bangladesh,82,36.0,105.0,57.37,7.5,22.0,0.0,0.0,13.0,0.0,7,13.265762293818407,15.0,2.9166666666666665,0.0,0.0,52.0,49.523809523809526
373538,Sabbir Rahman,2014-2019,right-hand bat,middle-order batter,Bangladesh,66,59.0,1333.0,91.23,25.63,7.0,1.0,6.0,153.0,24.0,5,40.01754064692795,266.6,22.593220338983052,144.0,10.802700675168792,612.0,45.91147786946736
352048,Gulbadin Naib,2011-2022,right-hand bat,batting allrounder,Afghanistan,75,64.0,1150.0,73.15,20.53,8.0,0.0,5.0,90.0,28.0,11,32.06168872758327,104.54545454545455,17.96875,168.0,14.608695652173914,360.0,31.30434782608696
440970,Hashmatullah Shahidi,2013-2022,left-hand bat,top-order batter,Afghanistan,53,53.0,1505.0,65.57,32.71,7.0,0.0,13.0,128.0,9.0,9,43.646615791615794,167.22222222222223,28.39622641509434,54.0,3.5880398671096345,512.0,34.01993355481728
25913,Mohammad Nabi,2009-2022,right-hand bat,allrounder,Afghanistan,136,121.0,2968.0,85.33,27.48,13.0,1.0,15.0,189.0,92.0,13,41.571995390479564,228.30769230769232,24.52892561983471,552.0,18.598382749326145,756.0,25.471698113207548
974109,Mujeeb Ur Rahman,2017-2022,right-hand bat,bowler,Afghanistan,55,27.0,97.0,75.78,6.92,13.0,0.0,0.0,10.0,2.0,5,12.681925030229745,19.4,3.5925925925925926,12.0,12.371134020618557,40.0,41.23711340206185
524049,Najibullah Zadran,2012-2022,left-hand bat,middle-order batter,Afghanistan,82,75.0,1974.0,90.26,31.33,12.0,1.0,15.0,170.0,66.0,10,46.51444691175261,197.4,26.32,396.0,20.060790273556233,680.0,34.447821681864234
